Ano,Tilapia,Tambaqui,Camarão,Tambacu,outros
1969,,,,,10
1970,,,,,19
1971,,,,,27
1972,,,,,50
1973,,,4,,89
1974,,,9,,149
1975,,,18,,268
1976,,,26,,407
1977,,,35,,745
1978,,,48,,1084
1979,,,65,,1622
1980,,,87,,3650
1981,,,115,,5679
1982,,,151,,7435
1983,,,196,,8972
1984,,,200,,10500
1985,,,350,,10523
1986,,,450,,10540
1987,,,500,,12640
1988,,,800,,14759
1989,,,1300,,16870
1990,,,1700,,18790
1991,,,2000,,21390
1992,,,2100,,27720
1993,,,2100,,28290
1994,,,2100,,28815
1995,12014,2330,2007,,29851
1996,15700,6400,3364,2507,52226
1997,16845,5044,3613,1593,62174
1998,24062,6088,7254,6219,66511
1999,27104,6201,16054,7224,91298
2000,32459,9776,25388,8763,104827
2001,35830,18203,40000,13226,111535
2002,57031,21709,60253,15255,108685
2003,64857,20834,90190,7916,97387
2004,69078,25272,75904,10335,99445
2005,67851,25011,63134,10875,101788
2006,71253,26662,65000,10990,108782
2007,95091,30598,65000,10854,98359
2008,111145,38833,70251,15458,111324
2009,132957,46454,65188,18492,120528
2010,155451,54313,69422,21621,132591
2011,166913,79648,69266,26779,120257
2012,182297,89376,75000,29179,134207
2013,169306,88719,64669,47163,155058
2014,198664,139209,65018,32267,159642
